train_dice,epoch,step,val_dice
1.244282998413837e-06,0,0,
1.5154871562117478e-06,0,1,
1.9610420167737175e-06,0,2,
2.0344473341538105e-06,0,3,
2.0999520984332776e-06,0,4,
,0,5,2.141900040442124e-06
